Ref,Val,Package,PosX,PosY,Rot,Side
"C16","0.1u","CAP_0603",98.918100,-91.900000,0.000000,bottom
"C18","1000pF","CAP_0603",99.718100,-94.700000,90.000000,bottom
"C19","1u","CAP_0603",98.918100,-97.500000,0.000000,bottom
"C26","0.1u","CAP_0603",82.800000,-56.600000,270.000000,bottom
"C27","0.1u","CAP_0603",81.000000,-61.800000,90.000000,bottom
"C32","10u","CAP_0805",84.600000,-57.000000,270.000000,bottom
"C33","10u","CAP_0805",82.800000,-61.400000,90.000000,bottom
"C36","220n","CAP_0603",78.400000,-53.600000,270.000000,bottom
"C37","10n","CAP_0603",83.000000,-51.400000,270.000000,bottom
"C40","0.1u","CAP_0603",86.400000,-61.800000,90.000000,bottom
"C42","0.1u","CAP_0603",87.000000,-56.600000,270.000000,bottom
"C44","0.1u","CAP_0603",80.400000,-56.600000,270.000000,bottom
"C46","0.1u","CAP_0603",79.400000,-61.800000,90.000000,bottom
"D23","1N4148","SOD80C",80.400000,-50.200000,90.000000,bottom
"D25","1N4148","SOD80C",84.400000,-48.600000,0.000000,bottom
"DA1","LP2951","SO8_150MIL",94.118100,-94.700000,180.000000,bottom
"R51","20k","RES_0603",98.118100,-94.700000,90.000000,bottom
"R52","12k","RES_0603",101.318000,-94.700000,270.000000,bottom
"R68","33k","RES_0603",85.400000,-51.400000,270.000000,bottom
"R69","4k7","RES_0603",87.000000,-51.400000,90.000000,bottom
