"Source:","D:\Nute\Yandex\TofStand\pcb\TofStand.sch"
"Date:","13-Nov-19 11:41:55"
"Tool:","Eeschema (5.99.0-212-g58d4a8bb4)"
"Component Count:","196"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","18pF","Capacitors:CAP_0603_Silks","","",""
"C2","10u","Capacitors:CAP_0805","","",""
"C3","0.1u","Capacitors:CAP_0603_Silks","~","",""
"C4","18pF","Capacitors:CAP_0603_Silks","","",""
"C5","0.1u","Capacitors:CAP_0603_Silks","","",""
"C6","1000u","Capacitors:CAP_10xxR","","",""
"C7","0.1u","Capacitors:CAP_0603_Silks","","",""
"C8","0.1u","Capacitors:CAP_0603_Silks","","",""
"C9","10nF","Capacitors:CAP_0603_Silks","","",""
"C10","10nF","Capacitors:CAP_0603_Silks","","",""
"C11","10nF","Capacitors:CAP_0603_Silks","","",""
"C12","0.1u","Capacitors:CAP_0603_Silks","","",""
"C13","10u","Capacitors:CAP_0805","","",""
"C14","1u","Capacitors:CAP_0603_Silks","","",""
"C15","1u","Capacitors:CAP_0603_Silks","","",""
"C16","0.1u","Capacitors:CAP_0603_Silks","","",""
"C17","0.1u","Capacitors:CAP_0603_Silks","","",""
"C18","0.1u","Capacitors:CAP_0603_Silks","","",""
"C19","27pF","Capacitors:CAP_0603_Silks","","",""
"C20","10u","Capacitors:CAP_0805","","",""
"C21","10u","Capacitors:CAP_0805","","",""
"C22","0.1u","Capacitors:CAP_0603_Silks","","",""
"C23","0.1u","Capacitors:CAP_0603_Silks","","",""
"C24","0.1u","Capacitors:CAP_0603_Silks","","",""
"C25","0.1u","Capacitors:CAP_0603_Silks","","",""
"C26","0.1u","Capacitors:CAP_0603_Silks","","",""
"C27","0.1u","Capacitors:CAP_0603_Silks","","",""
"C28","0.1u","Capacitors:CAP_0603_Silks","","",""
"C29","0.1u","Capacitors:CAP_0603_Silks","","",""
"C30","0.1u","Capacitors:CAP_0603_Silks","","",""
"C31","0.1u","Capacitors:CAP_0603_Silks","","",""
"C32","0.1u","Capacitors:CAP_0603_Silks","","",""
"C33","0.1u","Capacitors:CAP_0603_Silks","","",""
